id,category,expected_label,detector,predicted_label,risk_score,is_correct,latency_ms,matched_rules,reasons,suspicious_indicators,subject
AI-PHISH-001,ai_phishing,phishing,openrouter_llm,uncertain,50,False,6715.84,,Attachment included which could be malicious;Request for bank account confirmation raises suspicion,Unsolicited request for sensitive information;Generic greeting without full name,Updated reimbursement workflow for this week
AI-PHISH-002,ai_phishing,phishing,openrouter_llm,phishing,85,True,9165.221,,Request to sign in through a temporary verification page;Unusual request for account verification;Lack of official communication style,Urgency implied by 'quick check';No official sender information;Generic greeting without personalization,Quick check on your course portal access
AI-PHISH-003,ai_phishing,phishing,openrouter_llm,phishing,85,True,4175.583,,Requests login information;Unclear verification page;Urgency implied without context,Generic greeting;No specific details about the project;Link to a verification page not provided,Follow-up on shared drive permissions
AI-PHISH-004,ai_phishing,phishing,openrouter_llm,uncertain,50,False,3260.429,,The email discusses a financial process which can be a common phishing tactic.;The request for confirmation of account details raises suspicion.,Unsolicited request for account confirmation;Generic greeting without specific recipient name,報銷流程小幅調整確認
AI-PHISH-005,ai_phishing,phishing,openrouter_llm,phishing,85,True,2512.903,,Urgency to verify account details;Generic greeting without a specific name;Request for sensitive information,Unusual request from HR;Lack of official email signature;No specific details about the review process,Gentle reminder: HR profile review
AI-PHISH-006,ai_phishing,phishing,openrouter_llm,phishing,85,True,9736.531,,Request for account verification;Use of a temporary login page;Generic greeting without personalization,Urgency implied in checking access;Lack of official domain in email address;No clear identification of sender,Class platform migration check
AI-PHISH-007,ai_phishing,phishing,openrouter_llm,uncertain,50,False,4841.399,,"The email requests action regarding an invoice, which is a common phishing tactic.;The sender is not clearly identified, raising suspicion.",Attachment included without clear context.;Urgency implied in the request to confirm payment information.,主管請你協助確認一份發票
AI-PHISH-008,ai_phishing,phishing,openrouter_llm,phishing,85,True,4414.613,,Urgency to confirm login information;Request for sensitive information;Generic greeting without personalization,Unusual request from IT;No official email signature;Deadline for response,Account access cleanup before Friday
AI-PHISH-009,ai_phishing,phishing,openrouter_llm,uncertain,50,False,2076.178,,Vague subject line;Request for confirmation of sensitive information;No clear sender identification,Unsolicited request for payment details;Lack of specific project information,Small update to payment contact details
AI-PHISH-010,ai_phishing,phishing,openrouter_llm,phishing,85,True,6558.433,,Urgency in completing account verification;Request for sensitive information;Generic greeting without personal identification,Unusual request related to account verification;Lack of official sender information;Vague details about the system,校務系統資料同步確認
NORMAL-001,normal,legitimate,openrouter_llm,legitimate,10,True,1500.128,,Clear subject line indicating a meeting reminder;Specific time and location provided;Contextual relevance to the team,,Weekly project meeting reminder
NORMAL-002,normal,legitimate,openrouter_llm,legitimate,10,True,6344.533,,Relevant subject matter for students;No suspicious links or attachments;Clear and concise communication,,Course announcement: reading list updated
NORMAL-003,normal,legitimate,openrouter_llm,legitimate,10,True,3281.997,,Clear and specific subject line;Informative content about scheduled maintenance;No request for personal information or action,,Office maintenance notice
NORMAL-004,normal,legitimate,openrouter_llm,legitimate,10,True,4099.029,,Clear subject indicating a confirmation;No requests for personal information;Specific details about the order,,Lunch order confirmation
NORMAL-005,normal,legitimate,openrouter_llm,legitimate,10,True,3756.121,,Contextual subject line related to team activities;No urgent requests or suspicious links;Professional tone and relevant content,,Team retrospective notes
NORMAL-006,normal,legitimate,openrouter_llm,legitimate,10,True,4090.457,,The subject and content are relevant to library services.;No requests for personal information or urgent actions.,,Library book due reminder
NORMAL-007,normal,legitimate,openrouter_llm,legitimate,10,True,3680.905,,Clear subject and purpose;Relevant topic for the audience;No urgent or threatening language,,Guest lecture invitation
NORMAL-008,normal,legitimate,openrouter_llm,legitimate,10,True,5112.083,,Clear and relevant subject line;Specific information about class location;No requests for personal information,,Updated classroom location
NORMAL-009,normal,legitimate,openrouter_llm,legitimate,10,True,3012.888,,Sender is known and trusted;Content is relevant to the department;No requests for personal information,,Monthly newsletter
NORMAL-010,normal,legitimate,openrouter_llm,legitimate,10,True,6355.66,,Clear and relevant subject line;Specific instructions related to a project;No suspicious links or attachments,,Project file naming convention
TRAD-PHISH-001,traditional_phishing,phishing,openrouter_llm,phishing,85,True,2260.56,,Urgent language used;Threat of account suspension;Unsolicited request for login information;Suspicious link provided,Final notice;Verify your account;Login immediately;24 hours deadline,Final notice: verify your account today
TRAD-PHISH-002,traditional_phishing,phishing,openrouter_llm,phishing,85,True,4164.691,,Urgent action required;Suspicious login link;Unfamiliar sender domain,Account suspension threat;Request to update password via link,銀行帳號最後通知
TRAD-PHISH-003,traditional_phishing,phishing,openrouter_llm,phishing,85,True,1717.614,,Urgency in payment request;Threat of access expiration;Lack of specific invoice details,Request for wire transfer;Generic greeting or no greeting;Pressure to act quickly,Urgent invoice payment required
TRAD-PHISH-004,traditional_phishing,phishing,openrouter_llm,phishing,85,True,7857.095,,Urgency to update password;Unsolicited request for account verification;Generic greeting without personal identification,Unusual login alert;Request for sensitive information;Lack of official branding or contact information,校務系統帳號驗證
TRAD-PHISH-005,traditional_phishing,phishing,openrouter_llm,phishing,95,True,1758.528,,Unsolicited prize notification;Request for sensitive information;Suspicious link provided,Generic greeting;Urgency to click link;Unverified sender,You've won a prize
TRAD-PHISH-006,traditional_phishing,phishing,openrouter_llm,phishing,85,True,7099.018,,Urgency to act immediately;Threat of account suspension;Generic greeting and lack of personalization,Unverified sender address;Links to unknown websites;Request for sensitive information,IT department password reset
TRAD-PHISH-007,traditional_phishing,phishing,openrouter_llm,phishing,85,True,1889.67,,Urgency to act immediately;Request for sensitive information;Attachment included,Unsolicited payment failure notification;Generic greeting or lack of personalization;Use of non-English language in a suspicious context,付款失敗通知
TRAD-PHISH-008,traditional_phishing,phishing,openrouter_llm,phishing,85,True,3703.667,,Urgent language indicating a final warning;Request to verify account through a link;Generic sender identity,Unusual URL format;Threat of account expiration,Final warning from system administrator
TRAD-PHISH-009,traditional_phishing,phishing,openrouter_llm,phishing,85,True,6999.354,,Urgency in payment request;Attachment included without prior context;Threat of account closure,Generic greeting;Unverified sender email address;Pressure to act quickly,Invoice attached - immediate response required
TRAD-PHISH-010,traditional_phishing,phishing,openrouter_llm,phishing,85,True,2322.58,,Urgency to update password;Unclear sender identity;Request for sensitive information,Generic greeting;Unusual request for password update;Lack of official company branding,人資薪資資料確認
